CÓDIGO CNAE;NÍVEL AGREGAÇÃO;DESCRIÇÃO CNAE;CÓDIGO DN COPAM;DESCRIÇÃO DO CÓDIGO;EXIGÊNCIA AMBIENTAL;NÍVEL DE RISCO
9603-3/04;Subclasse;Serviços de funerárias;Não Listada;-;Não se aplica;I
9603-3/05;Subclasse;Serviços de somatoconservação;Não Listada;-;Não se aplica;I
9603-3/99;Subclasse;Atividades funerárias e serviços relacionados não especificados anteriormente;Não Listada;-;Não se aplica;I
9609-2/02;Subclasse;Agências matrimoniais;Não Listada;-;Não se aplica;I
9609-2/04;Subclasse;Exploração de máquinas de serviços pessoais acionadas por moeda;Não Listada;-;Não se aplica;I
9609-2/05;Subclasse;Atividades de sauna e banhos;Não Listada;-;Não se aplica;I
9609-2/06;Subclasse;Serviços de tatuagem e colocação de piercing;Não Listada;-;Não se aplica;I
9609-2/07;Subclasse;Alojamento de animais domésticos;Não Listada;-;Não se aplica;I
9609-2/08;Subclasse;Higiene e embelezamento de animais domésticos;Não Listada;-;Não se aplica;I
9609-2/99;Subclasse;Outras atividades de serviços pessoais não especificadas anteriormente;Não Listada;-;Não se aplica;I
9700-5/00;Subclasse;Serviços domésticos;Não Listada;-;Não se aplica;I
9900-8/00;Subclasse;Organismos internacionais e outras instituições extraterritoriais;Não Listada;-;Não se aplica;I
4319-3/00;Atividade;Obras de (construção) escoamento;Não Listada;-;Não se aplica;I
4319-3/00;Atividade;Rebaixamento de lençol (lençóis) de água;Não Listada;-;Não se aplica;I
4319-3/00;Atividade;Rebaixamento de (construção) lençol (lençóis) freáticos;Não Listada;-;Não se aplica;I
0159-8/01;Subclasse;Apicultura;Não Listada;-;Não se aplica;I
0810-0/05;Subclasse;Extração de gesso e caulim;A-01-01-5;Lavra subterrânea pegmatitos e gemas;Licença ambiental;III
0893-2/00;Subclasse;Extração de gemas (pedras preciosas e semipreciosas);A-01-01-5;Lavra subterrânea pegmatitos e gemas;Licença ambiental;III
0722-7/01;Subclasse;Extração de minério de estanho;A-01-01-5;Lavra subterrânea pegmatitos e gemas;Licença ambiental;III
0729-4/01;Atividade;Extração de minério de colômbio ou nióbio - tântalo (colombita - tantalita);A-01-01-5;Lavra subterrânea pegmatitos e gemas;Licença ambiental;III
0729-4/01;Atividade;Beneficiamento de minério de nióbio;A-01-01-5;Lavra subterrânea pegmatitos e gemas;Licença ambiental;III
0729-4/01;Atividade;Extração de minério de nióbio;A-01-01-5;Lavra subterrânea pegmatitos e gemas;Licença ambiental;III
0729-4/01;Atividade;Extração de minério de titânio (ilmenita e rutilo);A-01-01-5;Lavra subterrânea pegmatitos e gemas;Licença ambiental;III
0729-4/02;Subclasse;Extração de minério de tungstênio;A-01-01-5;Lavra subterrânea pegmatitos e gemas;Licença ambiental;III
0729-4/04;Atividade;Extração de minério de lítio (ambligonita, lepidolita, pedalita);A-01-01-5;Lavra subterrânea pegmatitos e gemas;Licença ambiental;III
0899-1/02;Subclasse;Extração de quartzo;A-01-01-5;Lavra subterrânea pegmatitos e gemas;Licença ambiental;III
0899-1/99;Atividade;Beneficiamento de feldspato, leucita ou nefelita naturais (associado a extração);A-01-01-5;Lavra subterrânea pegmatitos e gemas;Licença ambiental;III
0899-1/99;Atividade;Beneficiamento de mica ou malacacheta (associado a extração);A-01-01-5;Lavra subterrânea pegmatitos e gemas;Licença ambiental;III
0899-1/99;Atividade;Extração de mica ou malacacheta;A-01-01-5;Lavra subterrânea pegmatitos e gemas;Licença ambiental;III
0710-3/01;Subclasse;Extração de minério de ferro;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0721-9/02;Subclasse;Beneficiamento de minério de alumínio;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0724-3/01;Subclasse;Extração de minério de metais preciosos;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0729-4/01;Subclasse;Extração de minérios de nióbio e titânio;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0729-4/02;Subclasse;Extração de minério de tungstênio;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0729-4/03;Subclasse;Extração de minério de níquel;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0729-4/04;Subclasse;Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0810-0/05;Subclasse;Extração de gesso e caulim;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0891-6/00;Subclasse;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0892-4/02;Subclasse;Extração de sal-gema;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0899-1/01;Subclasse;Extração de grafita;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0899-1/02;Subclasse;Extração de quartzo;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0899-1/99;Subclasse;Extração de outros minerais não metálicos não especificados anteriormente;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0724-3/01;Atividade;Extração de minério de ouro;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0724-3/01;Atividade;Extração de minério de ouro;A-01-03-1;Lavra subterrânea exceto pegmatitos e gemas;Licença ambiental;III
0721-9/01;Subclasse;Extração de minério de alumínio ;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0721-9/02;Subclasse;Beneficiamento de minério de alumínio;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0722-7/01;Subclasse;Extração de minério de estanho;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0722-7/02;Subclasse;Beneficiamento de minério de estanho ;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0723-5/01;Subclasse;Extração de minério de manganês;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0723-5/02;Subclasse;Beneficiamento de minério de manganês ;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0724-3/01;Subclasse;Extração de minério de metais preciosos;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0724-3/02;Subclasse;Beneficiamento de minério de metais preciosos ;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0729-4/01;Subclasse;Extração de minérios de nióbio e titânio;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0729-4/02;Subclasse;Extração de minério de tungstênio;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0729-4/03;Subclasse;Extração de minério de níquel;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0729-4/04;Subclasse;Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0729-4/05;Subclasse;Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente ;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0724-3/01;Atividade;Extração de minério de ouro;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0724-3/01;Atividade;Extração de ouro de aluvião ou em pó;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0722-7/01;Subclasse;Extração de minério de estanho;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0729-4/01;Atividade;Extração de minério de colômbio ou nióbio - tântalo (colombita - tantalita);A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0729-4/01;Atividade;Beneficiamento de minério de nióbio;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0729-4/01;Atividade;Extração de minério de nióbio;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0729-4/01;Atividade;Extração de minério de titânio (ilmenita e rutilo);A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0729-4/02;Subclasse;Extração de minério de tungstênio;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0729-4/04;Atividade;Extração de minério de lítio (ambligonita, lepidolita, pedalita);A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0724-3/01;Atividade;Extração de minério de ouro;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0724-3/01;Atividade;Extração de ouro de aluvião ou em pó;A-02-01-1;Lavra a céu aberto - Minerais metálicos, exceto minério de ferro;Licença ambiental;III
0710-3/01;Subclasse;Extração de minério de ferro;A-02-03-8;Lavra a céu aberto - Minério de ferro;Licença ambiental;III
0710-3/02;Subclasse;Pelotização, sinterização e outros beneficiamentos de minério de ferro;A-02-03-8;Lavra a céu aberto - Minério de ferro;Licença ambiental;III
0810-0/01;Subclasse;Extração de ardósia e beneficiamento associado;A-02-06-2;Lavra a céu aberto - Rochas ornamentais e de revestimento;Licença ambiental;III
0810-0/02;Subclasse;Extração de granito e beneficiamento associado ;A-02-06-2;Lavra a céu aberto - Rochas ornamentais e de revestimento;Licença ambiental;III
0810-0/03;Subclasse;Extração de mármore e beneficiamento associado ;A-02-06-2;Lavra a céu aberto - Rochas ornamentais e de revestimento;Licença ambiental;III
0810-0/09;Subclasse;Extração de basalto e beneficiamento associado;A-02-06-2;Lavra a céu aberto - Rochas ornamentais e de revestimento;Licença ambiental;III
0810-0/99;Subclasse;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado ;A-02-06-2;Lavra a céu aberto - Rochas ornamentais e de revestimento;Licença ambiental;III
0500-3/01;Subclasse;Extração de carvão mineral ;A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0500-3/02;Subclasse;Beneficiamento de carvão mineral ;A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0810-0/04;Subclasse;Extração de calcário e dolomita e beneficiamento associado ;A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0810-0/05;Subclasse;Extração de gesso e caulim ;A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0810-0/10;Subclasse;Beneficiamento de gesso e caulim associado à extração ;A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0891-6/00;Subclasse;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0892-4/02;Subclasse;Extração de sal gema;A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0892-4/03;Subclasse;Refino e outros tratamentos do sal;A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0893-2/00;Subclasse;Extração de gemas (pedras preciosas e semipreciosas);A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0899-1/01;Subclasse;Extração de grafita;A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0899-1/02;Subclasse;Extração de quartzo;A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0899-1/99;Subclasse;Extração de outros minerais não metálicos não especificados anteriormente;A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0899-1/02;Subclasse;Extração de quartzo;A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0899-1/99;Atividade;Beneficiamento de feldspato, leucita ou nefelita naturais (associado a extração);A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0899-1/99;Atividade;Beneficiamento de mica ou malacacheta (associado a extração);A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0899-1/99;Atividade;Extração de mica ou malacacheta;A-02-07-0;Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento;Licença ambiental;III
0810-0/99;Subclasse;"Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;";A-02-09-7;Extração de rocha para produção de britas;Licença ambiental ou Dispensa;II
0893-2/00;Subclasse;Extração de gemas (pedras preciosas e semipreciosas);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de gemas e diamantes (pedra preciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de berilo (pedra semipreciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de esmeralda (pedra preciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de ametista (pedra semipreciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de coríndon (pedra preciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Beneficiamento de gemas;A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de gemas;A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de granada (pedra semipreciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de opala (pedra preciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de pedras preciosas;A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de pedras semipreciosas;A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de rubi (pedra preciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de safira (pedra preciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de topázio (pedra semipreciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de turmalina (pedra semipreciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de ágata (pedra semipreciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de água-marinha (pedra semipreciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0893-2/00;Atividade;Extração de ônix (pedra semipreciosa);A-02-10-0;Lavra em aluvião, exceto areia e cascalho;Licença ambiental;III
0810-0/06;Subclasse;Extração de areia, cascalho ou pedregulho e beneficiamento associado ;A-03-01-8;Extração de areia e cascalho para utilização imediata na construção civil;Licença ambiental;III
0810-0/08;Subclasse;Extração de saibro e beneficiamento associado ;A-03-01-8;Extração de areia e cascalho para utilização imediata na construção civil;Licença ambiental;III
0810-0/09;Subclasse;Extração de basalto e beneficiamento associado;A-03-01-8;Extração de areia e cascalho para utilização imediata na construção civil;Licença ambiental;III
0810-0/99;Subclasse;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado ;A-03-01-8;Extração de areia e cascalho para utilização imediata na construção civil;Licença ambiental;III
0810-0/08;Subclasse;Extração de saibro e beneficiamento associado ;A-03-01-9;Extração de cascalho, rocha para produção de britas, areia fora da calha dos cursos d’água e demais coleções hídricas, para aplicação exclusivamente em obras viárias, inclusive as executadas por entidades da Administração Pública Direta e Indireta Municipal, Estadual e Federal.;Licença ambiental;III
0810-0/09;Subclasse;Extração de basalto e beneficiamento associado ;A-03-01-9;Extração de cascalho, rocha para produção de britas, areia fora da calha dos cursos d’água e demais coleções hídricas, para aplicação exclusivamente em obras viárias, inclusive as executadas por entidades da Administração Pública Direta e Indireta Municipal, Estadual e Federal.;Licença ambiental;III
0810-0/99;Subclasse;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado ;A-03-01-9;Extração de cascalho, rocha para produção de britas, areia fora da calha dos cursos d’água e demais coleções hídricas, para aplicação exclusivamente em obras viárias, inclusive as executadas por entidades da Administração Pública Direta e Indireta Municipal, Estadual e Federal.;Licença ambiental;III
0810-0/07;Subclasse;Extração de argila e beneficiamento associado ;A-03-02-6;Extração de argila usada na fabricação de cerâmica vermelha;Licença ambiental;III
1121-6/00;Subclasse;Fabricação de águas envasadas;A-04-01-4;Extração de água mineral ou potável de mesa;Licença ambiental;III
0500-3/02;Subclasse;Beneficiamento de carvão mineral;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0710-3/02;Subclasse;Pelotização, sinterização e outros beneficiamentos de minério de ferro;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0721-9/02;Subclasse;Beneficiamento de minério de alumínio;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0722-7/02;Subclasse;Beneficiamento de minério de estanho;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0723-5/02;Subclasse;Beneficiamento de minério de manganês;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0724-3/02;Subclasse;Beneficiamento de minério de metais preciosos;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0729-4/05;Subclasse;Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0810-0/08;Subclasse;Extração de saibro e beneficiamento associado;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0810-0/09;Subclasse;Extração de basalto e beneficiamento associado;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0810-0/10;Subclasse;Beneficiamento de gesso e caulim associado à extração;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0810-0/99;Subclasse;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0892-4/03;Subclasse;Refino e outros tratamentos do sal;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0722-7/02;Subclasse;Beneficiamento de minério de estanho;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0723-5/02;Subclasse;Beneficiamento de minério de manganês;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0724-3/02;Subclasse;Beneficiamento de minério de metais preciosos;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0729-4/05;Subclasse;Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0810-0/05;Subclasse;Extração de gesso e caulim;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0810-0/08;Subclasse;Extração de saibro e beneficiamento associado;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0810-0/09;Subclasse;Extração de basalto e beneficiamento associado;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0810-0/10;Subclasse;Beneficiamento de gesso e caulim associado à extração;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0810-0/99;Subclasse;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0892-4/03;Subclasse;Refino e outros tratamentos do sal;A-05-01-0;Unidade de Tratamento de Minerais - UTM, com tratamento a seco;Licença ambiental;III
0500-3/02;Subclasse;Beneficiamento de carvão mineral;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
 0729-4/05;Subclasse;Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0710-3/02;Subclasse;Pelotização, sinterização e outros beneficiamentos de minério de ferro;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0721-9/02;Subclasse;Beneficiamento de minério de alumínio;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0722-7/02;Subclasse;Beneficiamento de minério de estanho;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0723-5/02;Subclasse;Beneficiamento de minério de manganês;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0724-3/02;Subclasse;Beneficiamento de minério de metais preciosos;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0810-0/08;Subclasse;Extração de saibro e beneficiamento associado;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
 0810-0/09;Subclasse;Extração de basalto e beneficiamento associado;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0810-0/10;Subclasse;Beneficiamento de gesso e caulim associado à extração;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0810-0/99;Subclasse;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0892-4/03 ;Subclasse;Refino e outros tratamentos do sal;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0500-3/02;Subclasse;Beneficiamento de carvão mineral;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0710-3/02;Subclasse;Pelotização, sinterização e outros beneficiamentos de minério de ferro;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0721-9/02;Subclasse;Beneficiamento de minério de alumínio;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0722-7/02;Subclasse;Beneficiamento de minério de estanho;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0723-5/02;Subclasse;Beneficiamento de minério de manganês;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0724-3/02;Subclasse;Beneficiamento de minério de metais preciosos;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0729-4/05;Subclasse;Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0810-0/08;Subclasse;Extração de saibro e beneficiamento associado;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0810-0/10;Subclasse;Beneficiamento de gesso e caulim associado à extração;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0810-0/99;Subclasse;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
0892-4/03;Subclasse;Refino e outros tratamentos do sal;A-05-02-0;Unidade de Tratamento de Minerais - UTM, com tratamento a úmido ;Licença ambiental;III
4291-0/00;Atividade;Construção de barragens (exceto para hidrelétricas);A-05-03-7;Barragem de contenção de resíduos ou rejeitos da mineração;Licença ambiental;III
3821-1/00 ;Subclasse;Tratamento e disposição de resíduos não perigosos;A-05-03-7;Barragem de contenção de resíduos ou rejeitos da mineração;Licença ambiental;III
3822-0/00;Subclasse;Tratamento e disposição de resíduos perigosos;A-05-03-7;Barragem de contenção de resíduos ou rejeitos da mineração;Licença ambiental;III
3821-1/00 ;Subclasse;Tratamento e disposição de resíduos não perigosos;A-05-04-5;Pilhas de rejeito/estéril;Licença ambiental;III
3822-0/00;Subclasse;Tratamento e disposição de resíduos perigosos;A-05-04-5;Pilhas de rejeito/estéril;Licença ambiental;III
3821-1/00 ;Subclasse;Tratamento e disposição de resíduos não perigosos;A-05-04-6;Pilha de rejeito/estéril de rochas ornamentais e de revestimento, pegmatitos, gemas e minerais não metálicos;Licença ambiental;III
3822-0/00;Subclasse;Tratamento e disposição de resíduos perigosos;A-05-04-6;Pilha de rejeito/estéril de rochas ornamentais e de revestimento, pegmatitos, gemas e minerais não metálicos;Licença ambiental;III
3821-1/00 ;Subclasse;Tratamento e disposição de resíduos não perigosos;A-05-04-7;Pilhas de rejeito/estéril - Minério de ferro;Licença ambiental;III
3822-0/00;Subclasse;Tratamento e disposição de resíduos perigosos;A-05-04-7;Pilhas de rejeito/estéril - Minério de ferro;Licença ambiental;III
0990-4/01;Atividade;Serviços de transporte off-road em minas de minério de ferro realizado sob contrato;A-05-05-3;Estrada para transporte de minério/estéril externa aos limites de empreendimentos minerários;Licença ambiental;III
0990-4/01;Atividade;Serviços de transporte off-road em minas de minério de ferro realizado sob contrato;A-05-05-3;Estrada para transporte de minério/estéril externa aos limites de empreendimentos minerários;Licença ambiental;III
4211-1/01;Subclasse;Construção de rodovias e ferrovias;A-05-05-3;Estrada para transporte de minério/estéril externa aos limites de empreendimentos minerários;Licença ambiental;III
3821-1/00 ;Subclasse;Tratamento e disposição de resíduos não perigosos;A-05-06-2;Disposição de estéril ou de rejeito inerte e não inerte da mineração (classe II-A e II-B, segundo a NBR 10.004) em cava de mina, em caráter temporário ou definitivo, sem necessidade de construção de barramento para contenção;Licença ambiental;III
3822-0/00;Subclasse;Tratamento e disposição de resíduos perigosos;A-05-06-2;Disposição de estéril ou de rejeito inerte e não inerte da mineração (classe II-A e II-B, segundo a NBR 10.004) em cava de mina, em caráter temporário ou definitivo, sem necessidade de construção de barramento para contenção;Licença ambiental;III
0710-3/01;Subclasse;Extração de minério de ferro;A-05-08-4;Reaproveitamento de bens minerais metálicos dispostos em pilha de estéril ou rejeito;Licença ambiental;III
